code,current_losses,current_ties,current_wins,d_rating,d_rating_third,global_d,global_o,global_rating,goal_diff,group,group_1,group_2,group_3,group_4,id,losses,make_final,make_quarters,make_round_of_16,make_semis,name,o_rating,o_rating_third,sdr_id,ties,win_league,wins,current_points,last_updated
BAR,0.0,2.0,4.0,1.01579,0.00076,0.63469,3.22491,89.43484,8.0,D,1.0,0.0,0.0,0.0,83,0.0,0.0,1.0,1.0,0.0,Barcelona,2.84381,0.00213,74014,2.0,0.0,4.0,14.0,2018-05-21 18:17
NIC,4.0,2.0,0.0,0.6278,0.00047,1.2443,1.5305,52.12564,-15.0,H,0.0,0.0,0.0,1.0,2497,4.0,0.0,0.0,0.0,0.0,Apoel Nicosia,2.147,0.00161,72948,2.0,0.0,0.0,2.0,2018-05-21 18:17
JUV,1.0,2.0,3.0,0.59407,0.00045,0.47153,2.3852,84.5955,2.0,D,0.0,1.0,0.0,0.0,111,1.0,0.0,1.0,1.0,0.0,Juventus,2.26266,0.0017,73847,2.0,0.0,3.0,11.0,2018-05-21 18:17
RSCA,5.0,0.0,1.0,0.95993,0.00072,1.09898,1.73126,59.84238,-15.0,B,0.0,0.0,0.0,1.0,441,5.0,0.0,0.0,0.0,0.0,Anderlecht,1.87032,0.0014,72889,0.0,0.0,1.0,3.0,2018-05-21 18:17
BMU,1.0,0.0,5.0,0.84511,0.00063,0.52659,3.31854,91.53828,7.0,B,0.0,1.0,0.0,0.0,132,1.0,0.0,1.0,1.0,1.0,Bayern Munich,3.00002,0.00225,74078,0.0,0.0,5.0,15.0,2018-05-21 18:17
CHE,1.0,2.0,3.0,0.91082,0.00068,0.73566,2.33631,78.53462,8.0,C,0.0,1.0,0.0,0.0,363,1.0,0.0,0.0,1.0,0.0,Chelsea,2.16114,0.00162,73598,2.0,0.0,3.0,11.0,2018-05-21 18:17
TOT,0.0,1.0,5.0,0.84135,0.00063,0.66618,2.53846,82.49592,11.0,H,1.0,0.0,0.0,0.0,367,0.0,0.0,0.0,1.0,0.0,Tottenham Hotspur,2.3633,0.00177,73602,1.0,0.0,5.0,16.0,2018-05-21 18:17
SCP,3.0,1.0,2.0,0.82128,0.82128,0.85468,1.78714,66.79817,-1.0,D,0.0,0.0,1.0,0.0,2250,3.0,0.0,0.0,0.0,0.0,Sporting CP,1.82054,1.82054,74330,1.0,0.0,2.0,7.0,2018-05-21 18:17
MAR,3.0,3.0,0.0,0.97275,0.00073,1.66697,1.44736,41.2474,-13.0,E,0.0,0.0,0.0,1.0,619,3.0,0.0,0.0,0.0,0.0,NK Maribor,2.14158,0.00161,74166,3.0,0.0,0.0,3.0,2018-05-21 18:17
SEV,1.0,3.0,2.0,1.16794,0.00088,0.78684,2.20082,75.48154,0.0,E,0.0,1.0,0.0,0.0,243,1.0,0.0,1.0,1.0,0.0,Sevilla FC,1.81972,0.00136,93401,3.0,0.0,2.0,9.0,2018-05-21 18:17
