code,current_losses,current_ties,current_wins,d_rating,goal_diff,goals_against,goals_scored,group,id,losses,make_champs,make_europa,name,o_rating,position_1,relegated,sdr_id,ties,win_league,wins,last_updated
FRA,12.0,8.0,11.0,0.94815,-2.7562,38.29906,35.54286,,125,12.99972,0.0,0.1435,Eintracht Frankfurt,1.33301,0.0,0.0,74052,8.88116,0.0,12.11912,2017-04-30 17:23
HSV,16.0,6.0,9.0,1.32845,-30.31806,63.72606,33.408,,127,17.4052,0.0,0.0,Hamburg SV,1.31758,0.0,0.29878,78530,6.7565,0.0,9.8383,2017-04-30 17:23
FRE,13.0,5.0,13.0,1.33403,-20.41664,61.5276,41.11096,,126,14.69492,0.0,0.2575,SC Freiburg,1.42017,0.0,0.0,74053,5.56862,0.0,13.73646,2017-04-30 17:23
MNZ,16.0,6.0,9.0,1.13524,-10.96108,54.75364,43.79256,,2950,17.06746,0.0,0.0,Mainz,1.54769,0.0,0.11852,74062,6.8397,0.0,10.09284,2017-04-30 17:23
ING,18.0,5.0,8.0,1.26192,-21.33868,58.48146,37.14278,,6367,19.18482,0.0,0.0,FC Ingolstadt 04,1.50941,0.0,0.76926,79434,5.78216,0.0,9.03302,2017-04-30 17:23
BRE,12.0,6.0,13.0,1.24198,-1.0919,56.79886,55.70696,,137,13.55698,0.0,0.54886,Werder Bremen,1.84645,0.0,0.0,74042,6.65696,0.0,13.78606,2017-04-30 17:23
BMU,2.0,7.0,22.0,0.59548,70.01528,18.60332,88.6186,,132,2.19576,1.0,0.0,Bayern Munich,2.98047,1.0,0.0,74078,7.30104,1.0,24.5032,2017-04-30 17:23
DRM,21.0,3.0,7.0,1.49821,-37.3249,65.47834,28.15344,,3812,23.07438,0.0,0.0,SV Darmstadt 98,1.23555,0.0,1.0,74070,3.49734,0.0,7.42828,2017-04-30 17:23
MGB,13.0,6.0,11.0,1.09343,-2.65856,48.3933,45.73474,,268,14.05756,0.0,0.30102,Borussia Monchengladbach,1.71579,0.0,2e-05,74048,6.92982,0.0,13.01262,2017-04-23 17:21
WLF,15.0,6.0,9.0,1.10832,-14.2088,49.08398,34.87518,,138,16.73722,0.0,0.00018,VfL Wolfsburg,1.6062,0.0,0.08964,74046,7.02952,0.0,10.23326,2017-04-23 17:21
DOR,6.0,8.0,16.0,0.91895,36.52192,38.48724,75.00916,,124,6.44738,0.99998,2e-05,Borussia Dortmund,2.54146,0.0,0.0,74050,8.6571,0.0,18.89552,2017-04-23 17:21
AUG,14.0,8.0,8.0,1.35418,-23.78438,56.74888,32.9645,,3841,16.33566,0.0,0.0,FC Augsburg,1.26174,0.0,0.39742,74082,8.86428,0.0,8.80006,2017-04-23 17:21
COL,9.0,11.0,10.0,1.13552,3.53952,43.96266,47.50218,,122,11.01224,0.0,0.2415,FC Cologne,1.46642,0.0,0.0,74049,11.91312,0.0,11.07464,2017-04-23 17:21
LEV,14.0,6.0,10.0,1.08576,-1.71058,50.8362,49.12562,,131,15.19522,0.0,0.0552,Bayer Leverkusen,1.77851,0.0,0.00104,74045,7.04142,0.0,11.76336,2017-04-23 17:21
HOF,3.0,13.0,14.0,1.05367,26.11742,37.50432,63.62174,,7911,4.319,0.99828,0.00172,TSG Hoffenheim,1.95685,0.0,0.0,84341,13.86382,0.0,15.81718,2017-04-23 17:21
SCH,12.0,8.0,10.0,1.04488,4.51392,40.14124,44.65516,,133,13.37022,0.0,0.1435,Schalke 04,1.60845,0.0,0.00014,74039,9.03722,0.0,11.59256,2017-04-23 17:21
RBL,6.0,5.0,19.0,0.98889,25.07492,36.29688,61.3718,,11420,7.4736,1.0,0.0,RB Leipzig,1.77568,6.000000000000001e-05,0.0,91099,6.02504,6.000000000000001e-05,20.50136,2017-04-23 17:21
