code,current_losses,current_ties,current_wins,d_rating,goal_diff,goals_against,goals_scored,group,id,losses,make_champs,make_europa,name,o_rating,position_1,relegated,sdr_id,ties,win_league,wins,last_updated
GUI,15.0,8.0,12.0,1.39359,-8.37332,52.39412,44.0208,,171,15.94444,0.0,0.0,Guingamp,1.3537,0.0,0.0,74451,8.82992,0.0,13.22564,2017-05-03 20:36
BOR,9.0,11.0,15.0,1.0427,10.13788,42.45242,52.5903,,159,10.02236,0.0,0.97546,Bordeaux,1.521,0.0,0.0,74428,11.8923,0.0,16.08534,2017-05-03 20:36
MRS,10.0,10.0,15.0,1.10048,15.32752,42.01288,57.3404,,176,10.80238,0.0,0.98946,Marseille,1.66367,0.0,0.0,74431,10.7988,0.0,16.39882,2017-05-03 20:36
CAN,20.0,6.0,9.0,1.536,-31.89524,68.48618,36.59094,,2927,21.66048,0.0,0.0,Caen,1.22358,0.0,0.59874,74445,6.6985,0.0,9.64102,2017-05-03 20:36
NCY,19.0,8.0,8.0,1.30266,-22.45008,50.99234,28.54226,,3267,20.60368,0.0,0.0,AS Nancy Lorraine,0.99504,0.0,0.67498,74441,8.76484,0.0,8.63148,2017-05-03 20:36
NCE,2.0,11.0,22.0,1.09292,29.30006,33.22066,62.52072,,2502,3.25118,1.0,0.0,Nice,1.58474,0.0,0.0,74437,11.78314,0.0,22.96568,2017-05-03 20:36
LOR,20.0,4.0,10.0,1.45241,-23.1629,70.07582,46.91292,,273,21.4676,0.0,0.0,Lorient,1.46263,0.0,0.13124,74443,5.14252,0.0,11.38988,2017-04-23 21:10
LYON,13.0,3.0,17.0,1.09111,30.0534,45.83366,75.88706,,167,13.87352,0.0,0.99924,Lyon,2.0994,0.0,0.0,74432,4.12358,0.0,20.0029,2017-04-23 21:10
TOU,12.0,12.0,10.0,1.14606,-2.02804,41.40082,39.37278,,179,13.61646,0.0,8e-05,Toulouse,1.11747,0.0,0.0,74439,13.04094,0.0,11.3426,2017-04-23 21:10
MNT,15.0,9.0,10.0,1.33288,-10.84692,62.53666,51.68974,,274,16.61952,0.0,0.0,Montpellier,1.49461,0.0,0.00046,74452,10.12338,0.0,11.2571,2017-04-23 21:10
DIJ,16.0,11.0,7.0,1.49001,-10.75348,59.225,48.47152,,3170,17.60186,0.0,0.0,Dijon FCO,1.33751,0.0,0.3479,74455,12.13736,0.0,8.26078,2017-04-23 21:10
MON,3.0,5.0,25.0,0.87793,73.77338,31.05482,104.8282,,174,3.33196,1.0,0.0,AS Monaco,2.43031,0.8376,0.0,74430,5.7382,0.8376,28.92984,2017-04-23 21:10
NAN,13.0,9.0,12.0,1.186,-14.7965,52.30224,37.50574,,165,14.60764,0.0,0.00626,Nantes,1.29691,0.0,0.0,74463,10.09126,0.0,13.3011,2017-04-23 21:10
REN,10.0,14.0,10.0,1.14743,-7.98624,43.86456,35.87832,,169,11.81766,0.0,0.00102,Stade Rennes,1.109,0.0,0.0,74434,15.09212,0.0,11.09022,2017-04-23 21:10
LLE,16.0,7.0,11.0,1.14767,-8.18334,46.66394,38.4806,,166,17.6639,0.0,0.0,Lille,1.28624,0.0,8e-05,74438,8.00554,0.0,12.33056,2017-04-23 21:10
ANG,17.0,6.0,11.0,1.23355,-13.4493,51.79192,38.34262,,7868,18.78332,0.0,0.0,Angers,1.2834,0.0,0.0009,74464,7.09838,0.0,12.1183,2017-04-23 21:10
PSG,4.0,5.0,25.0,0.73026,55.98966,25.55466,81.54432,,160,4.28708,1.0,0.0,Paris Saint-Germain,2.44449,0.1624,0.0,74427,5.57282,0.1624,28.1401,2017-04-23 21:10
MTZ,16.0,9.0,9.0,1.62678,-36.26584,74.34032,38.07448,,177,17.72148,0.0,0.0,Metz,1.15409,0.0,0.06872,74444,10.1381,0.0,10.14042,2017-04-23 21:10
STE,9.0,13.0,11.0,1.06055,2.3775,38.05668,40.43418,,178,11.57314,0.0,0.02596,St Etienne,1.25348,0.0,0.0,74436,14.28354,0.0,12.14332,2017-04-23 21:10
BAS,17.0,10.0,6.0,1.44158,-26.73384,56.9228,30.18896,,173,19.82018,0.0,0.0,Bastia,0.93079,0.0,0.93102,74457,11.17346,0.0,7.00636,2017-04-23 21:10
GUI,14.0,8.0,12.0,1.35303,-5.86858,51.30456,45.43598,,171,15.17962,0.0,0.00738,Guingamp,1.39228,0.0,0.0,74451,9.12668,0.0,13.6937,2017-04-23 21:10
BOR,9.0,10.0,15.0,1.06654,10.54064,43.57618,54.11682,,159,10.28928,0.0,0.99152,Bordeaux,1.5771,0.0,0.0,74428,11.16912,0.0,16.5416,2017-04-23 21:10
MRS,10.0,10.0,14.0,1.08642,11.37266,42.09046,53.46312,,176,11.1264,0.0,0.96854,Marseille,1.56663,0.0,0.0,74431,11.1093,0.0,15.7643,2017-04-23 21:10
CAN,19.0,6.0,9.0,1.45272,-28.05704,64.72118,36.66414,,2927,21.05022,0.0,0.0,Caen,1.20659,0.0,0.45016,74445,6.99394,0.0,9.95584,2017-04-23 21:10
NCY,18.0,8.0,8.0,1.26486,-21.67198,50.25044,28.57846,,3267,19.98974,0.0,0.0,AS Nancy Lorraine,1.00235,0.0,0.55984,74441,9.0639,0.0,8.94636,2017-04-23 21:10
