code,current_losses,current_ties,current_wins,d_rating,goal_diff,group,group_1,group_2,group_3,group_4,id,losses,make_final,make_quarters,make_second_round,make_semis,name,o_rating,sdr_id,ties,win_final,wins,win_league,make_round_of_16,last_updated
JUV,0.0,2.0,4.0,0.53659,9.0,H,1.0,0.0,0.0,0.0,111,0.0,1.0,1.0,1.0,1.0,Juventus,2.25162,73847,2.0,0.45291,4.0,0.45291,1.0,2017-05-14 20:55
KIEV,3.0,2.0,1.0,0.80262,2.0,B,0.0,0.0,0.0,1.0,440,3.0,0.0,0.0,0.0,0.0,Dynamo Kiev,1.92951,74217,2.0,0.0,1.0,0.0,0.0,2017-05-14 20:55
BMU,2.0,0.0,4.0,0.67501,8.0,D,0.0,1.0,0.0,0.0,132,2.0,0.0,1.0,1.0,0.0,Bayern Munich,3.05273,74078,0.0,0.0,4.0,0.0,1.0,2017-05-14 20:55
COP,1.0,3.0,2.0,1.04018,5.0,G,0.0,0.0,1.0,0.0,909,1.0,0.0,0.0,0.0,0.0,FC Copenhagen,1.28719,72960,3.0,0.0,2.0,0.0,0.0,2017-05-14 20:55
MGB,3.0,2.0,1.0,1.08232,-7.0,C,0.0,0.0,1.0,0.0,268,3.0,0.0,0.0,0.0,0.0,Borussia Monchengladbach,1.69861,74048,2.0,0.0,1.0,0.0,0.0,2017-05-14 20:55
WAR,4.0,1.0,1.0,1.53239,-15.0,F,0.0,0.0,1.0,0.0,555,4.0,0.0,0.0,0.0,0.0,Legia Warsaw,1.61261,73949,1.0,0.0,1.0,0.0,0.0,2017-05-14 20:55
SCP,5.0,0.0,1.0,0.8532,-3.0,F,0.0,0.0,0.0,1.0,2250,5.0,0.0,0.0,0.0,0.0,Sporting CP,1.70553,74330,0.0,0.0,1.0,0.0,0.0,2017-05-14 20:55
ARS,0.0,2.0,4.0,1.01431,12.0,A,1.0,0.0,0.0,0.0,359,0.0,0.0,0.0,1.0,0.0,Arsenal,2.35389,73616,2.0,0.0,4.0,0.0,1.0,2017-05-14 20:55
POR,1.0,2.0,3.0,0.92545,6.0,G,0.0,1.0,0.0,0.0,437,1.0,0.0,0.0,1.0,0.0,FC Porto,1.80947,74329,2.0,0.0,3.0,0.0,1.0,2017-05-14 20:55
TOT,3.0,1.0,2.0,0.6729,0.0,E,0.0,0.0,1.0,0.0,367,3.0,0.0,0.0,0.0,0.0,Tottenham Hotspur,2.23872,73602,1.0,0.0,2.0,0.0,0.0,2017-05-14 20:55
SEV,1.0,2.0,3.0,1.00916,4.0,H,0.0,1.0,0.0,0.0,243,1.0,0.0,0.0,1.0,0.0,Sevilla FC,1.85235,93401,2.0,0.0,3.0,0.0,1.0,2017-05-14 20:55
BES,1.0,4.0,1.0,1.50455,-5.0,B,0.0,0.0,1.0,0.0,1895,1.0,0.0,0.0,0.0,0.0,Besiktas,1.75653,74202,4.0,0.0,1.0,0.0,0.0,2017-05-14 20:55
PSV,4.0,2.0,0.0,1.17512,-7.0,D,0.0,0.0,0.0,1.0,148,4.0,0.0,0.0,0.0,0.0,PSV,1.85881,93373,2.0,0.0,0.0,0.0,0.0,2017-05-14 20:55
ROS,3.0,2.0,1.0,1.4208,-6.0,D,0.0,0.0,1.0,0.0,3852,3.0,0.0,0.0,0.0,0.0,Rostov,1.39696,74350,2.0,0.0,1.0,0.0,0.0,2017-05-07 16:54
LYON,2.0,2.0,2.0,1.13176,2.0,H,0.0,0.0,1.0,0.0,167,2.0,0.0,0.0,0.0,0.0,Lyon,2.10172,74432,2.0,0.0,2.0,0.0,0.0,2017-05-07 16:54
MAD,0.0,3.0,3.0,0.91235,6.0,F,0.0,1.0,0.0,0.0,86,0.0,0.97156,1.0,1.0,1.0,Real Madrid,3.30667,74013,3.0,0.53574,3.0,0.53574,1.0,2017-05-07 16:54
CBKV,6.0,0.0,0.0,1.51857,-12.0,G,0.0,0.0,0.0,1.0,570,6.0,0.0,0.0,0.0,0.0,Club Brugge,1.02543,72883,0.0,0.0,0.0,0.0,0.0,2017-05-07 16:54
BAS,4.0,2.0,0.0,1.31309,-9.0,A,0.0,0.0,0.0,1.0,989,4.0,0.0,0.0,0.0,0.0,Basel,1.85505,93159,2.0,0.0,0.0,0.0,0.0,2017-05-07 16:54
PSG,0.0,3.0,3.0,0.75562,6.0,A,0.0,1.0,0.0,0.0,160,0.0,0.0,0.0,1.0,0.0,Paris Saint-Germain,2.52817,74427,3.0,0.0,3.0,0.0,1.0,2017-05-07 16:54
