code,current_losses,current_ties,current_wins,d_rating,goal_diff,goals_against,goals_scored,group,id,losses,make_champs,make_europa,name,o_rating,position_1,relegated,sdr_id,ties,win_league,wins,last_updated
DEP,18.0,11.0,7.0,1.22365,-21.61454,63.93918,42.32464,,90,18.89402,0.0,0.0,Deportivo La Coruña,1.37484,0.0,0.0144,74022,11.48758,0.0,7.6184,2017-05-10 20:41
BAR,4.0,6.0,26.0,0.74399,78.38828,35.54312,113.9314,,83,4.13036,1.0,0.0,Barcelona,3.4302,0.30246,0.0,74014,6.23466,0.30246,27.63498,2017-05-10 20:41
VIG,17.0,5.0,13.0,1.2399,-13.11374,65.57968,52.46594,,85,18.5554,0.0,0.0,Celta Vigo,1.48269,0.0,0.0,74008,5.7116,0.0,13.733,2017-05-10 20:41
ATL,6.0,8.0,22.0,0.60637,42.3785,26.44014,68.81864,,1068,6.36808,1.0,0.0,Atletico Madrid,1.82463,0.0,0.0,74010,8.57346,0.0,23.05846,2017-05-10 20:41
LEG,19.0,9.0,8.0,0.99979,-19.65922,55.42882,35.7696,,17534,19.86868,0.0,0.0,Leganes,1.31127,0.0,0.00784,78708,9.56902,0.0,8.5623,2017-05-10 20:41
MAD,3.0,6.0,26.0,0.91965,61.81314,42.35794,104.17108,,86,3.39136,1.0,0.0,Real Madrid,3.30816,0.69754,0.0,74013,6.4806,0.69754,28.12804,2017-05-10 20:41
SOC,12.0,5.0,19.0,1.03525,6.54774,51.30214,57.84988,,89,12.60278,0.0,1.0,Real Sociedad,1.71801,0.0,0.0,75770,5.53822,0.0,19.859,2017-05-10 20:41
SEV,7.0,9.0,20.0,1.0106,17.36202,48.6482,66.01022,,243,7.8998,0.97802,0.02198,Sevilla FC,1.85791,0.0,0.0,93401,9.32956,0.0,20.77064,2017-05-10 20:41
VAL,17.0,7.0,12.0,1.18747,-8.20452,64.71118,56.50666,,94,17.77464,0.0,0.0,Valencia,1.70869,0.0,0.0,74016,7.54788,0.0,12.67748,2017-05-10 20:41
ESP,11.0,11.0,14.0,1.01487,-0.6153,50.14472,49.52942,,88,11.61642,0.0,0.0,Espanyol,1.3209,0.0,0.0,74018,11.58188,0.0,14.8017,2017-05-10 20:41
BET,19.0,7.0,10.0,1.26702,-24.03818,63.95478,39.9166,,244,19.97376,0.0,0.0,Real Betis,1.33565,0.0,0.0,74025,7.55104,0.0,10.4752,2017-05-10 20:41
VLR,9.0,9.0,18.0,0.9405,22.01004,34.14248,56.15252,,102,9.52352,0.02198,0.97802,Villarreal,1.77746,0.0,0.0,74019,9.49928,0.0,18.9772,2017-05-10 20:41
PAL,17.0,9.0,10.0,1.47792,-17.4166,71.64306,54.22646,,98,18.24308,0.0,0.0,Las Palmas,1.49718,0.0,0.0,73975,9.39118,0.0,10.36574,2017-05-10 20:41
GRN,24.0,8.0,4.0,1.51465,-50.75088,80.68846,29.93758,,3747,24.89488,0.0,0.0,Granada,0.98756,0.0,1.0,74005,8.5718,0.0,4.53332,2017-05-10 20:41
GIJ,21.0,9.0,5.0,1.40607,-32.31648,74.14514,41.82866,,3788,22.1842,0.0,0.0,Sporting Gijón,1.39615,0.0,0.96442,74001,9.77338,0.0,6.04242,2017-05-02 20:41
OSA,22.0,10.0,3.0,1.58201,-48.7835,88.94228,40.15878,,97,23.51898,0.0,0.0,Osasuna,1.27938,0.0,1.0,74015,10.6912,0.0,3.78982,2017-05-02 20:41
EIB,11.0,9.0,15.0,0.97099,6.3128,50.29108,56.60388,,3752,12.68606,0.0,0.00158,Eibar,1.52361,0.0,0.0,73965,9.59116,0.0,15.72278,2017-05-02 20:41
MGA,15.0,9.0,11.0,1.04425,-8.38596,56.02742,47.64146,,99,16.40806,0.0,0.0,Málaga,1.44545,0.0,0.0,74004,9.72108,0.0,11.87086,2017-05-02 20:41
BIL,11.0,5.0,19.0,0.82465,13.39514,40.9742,54.36934,,93,11.99766,0.02478,0.97512,Athletic Bilbao,1.80356,0.0,0.0,74011,5.84122,0.0,20.16112,2017-05-02 20:41
ALA,11.0,12.0,12.0,0.96326,-4.82848,44.1628,39.33432,,96,12.01558,0.0,0.0,Alavés,1.34444,0.0,0.0,74003,12.89676,0.0,13.08766,2017-05-02 20:41
DEP,17.0,11.0,7.0,1.1943,-20.32556,62.88224,42.55668,,90,18.17332,0.0,0.0,Deportivo La Coruña,1.36663,0.0,0.00166,74022,11.7887,0.0,8.03798,2017-05-02 20:41
BAR,4.0,6.0,25.0,0.73929,77.56114,35.14422,112.70536,,83,4.18754,1.0,0.0,Barcelona,3.39012,0.34338,0.0,74014,6.35856,0.34338,27.4539,2017-05-02 20:41
VIG,16.0,5.0,13.0,1.20879,-10.48038,64.02322,53.54284,,85,18.01184,0.0,0.0,Celta Vigo,1.51628,0.0,0.0,74008,5.98354,0.0,14.00462,2017-05-02 20:41
ATL,6.0,8.0,21.0,0.61011,42.45186,26.92764,69.3795,,1068,6.4897,0.99888,0.00112,Atletico Madrid,1.83575,0.0,0.0,74010,8.81362,0.0,22.69668,2017-05-02 20:41
LEG,19.0,9.0,7.0,1.019,-23.28266,56.33986,33.0572,,17534,20.12706,0.0,0.0,Leganes,1.24875,0.0,0.03392,78708,9.85362,0.0,8.01932,2017-05-02 20:41
MAD,3.0,6.0,25.0,0.93843,59.76844,43.49696,103.2654,,86,3.4886,1.0,0.0,Real Madrid,3.30145,0.65662,0.0,74013,6.6174,0.65662,27.894,2017-05-02 20:41
SOC,12.0,4.0,19.0,1.05819,5.93148,52.03276,57.96424,,89,13.11716,0.01324,0.98536,Real Sociedad,1.72267,0.0,0.0,75770,4.78034,0.0,20.1025,2017-05-02 20:41
SEV,7.0,8.0,20.0,1.0138,18.0414,48.75648,66.79788,,243,8.12952,0.93256,0.06744,Sevilla FC,1.89277,0.0,0.0,93401,8.57552,0.0,21.29496,2017-05-02 20:41
VAL,17.0,7.0,11.0,1.18421,-10.27928,64.58542,54.30614,,94,17.95672,0.0,0.0,Valencia,1.67882,0.0,0.0,74016,7.78414,0.0,12.25914,2017-05-02 20:41
ESP,11.0,11.0,13.0,1.00821,-1.8828,50.35396,48.47116,,88,12.03308,0.0,0.0,Espanyol,1.28994,0.0,0.0,74018,11.878,0.0,14.08892,2017-05-02 20:41
BET,18.0,7.0,10.0,1.20598,-20.38892,61.2081,40.81918,,244,19.4204,0.0,0.0,Real Betis,1.35903,0.0,0.0,74025,7.83984,0.0,10.73976,2017-05-02 20:41
VLR,8.0,9.0,18.0,0.92551,22.86244,32.83218,55.69462,,102,9.33798,0.03054,0.96938,Villarreal,1.76901,0.0,0.0,74019,9.6319,0.0,19.03012,2017-05-02 20:41
PAL,16.0,9.0,10.0,1.49797,-16.65396,72.21844,55.56448,,98,17.66806,0.0,0.0,Las Palmas,1.55242,0.0,0.0,73975,9.6497,0.0,10.68224,2017-05-02 20:41
GRN,23.0,8.0,4.0,1.51185,-48.71672,79.7325,31.01578,,3747,24.66364,0.0,0.0,Granada,1.01498,0.0,1.0,74005,8.7,0.0,4.63636,2017-05-02 20:41
GIJ,20.0,9.0,5.0,1.35726,-31.67742,73.0083,41.33088,,3788,21.8664,0.0,0.0,Sporting Gijón,1.35695,0.0,0.9555,74001,10.01206,0.0,6.12154,2017-04-26 21:23
OSA,22.0,9.0,3.0,1.55795,-48.70462,88.06222,39.3576,,97,23.8618,0.0,0.0,Osasuna,1.25443,0.0,1.0,74015,9.969,0.0,4.1692,2017-04-26 21:23
EIB,11.0,8.0,14.0,0.99989,4.78792,52.29836,57.08628,,3752,13.27146,0.0,0.02834,Eibar,1.55733,0.0,0.0,73965,9.17986,0.0,15.54868,2017-04-26 21:23
MGA,15.0,9.0,10.0,1.02885,-10.642,55.25382,44.61182,,99,16.82234,0.0,0.0,Málaga,1.36145,0.0,0.0,74004,10.01964,0.0,11.15802,2017-04-26 21:23
BIL,11.0,5.0,17.0,0.85586,10.19846,41.93052,52.12898,,93,12.52864,0.01222,0.96432,Athletic Bilbao,1.71514,0.0,0.0,74011,6.38414,0.0,19.08722,2017-04-26 21:23
ALA,11.0,11.0,11.0,1.00742,-8.3867,45.56514,37.17844,,96,12.84744,0.0,0.00104,Alavés,1.25619,0.0,0.0,74003,12.50382,0.0,12.64874,2017-04-26 21:23
DEP,17.0,10.0,7.0,1.17051,-20.52032,62.16556,41.64524,,90,18.57446,0.0,0.0,Deportivo La Coruña,1.34501,0.0,0.00802,74022,11.08254,0.0,8.343,2017-04-26 21:23
BAR,4.0,6.0,24.0,0.77916,75.76878,36.2917,112.06048,,83,4.34858,1.0,0.0,Barcelona,3.38307,0.32226,0.0,74014,6.55382,0.32226,27.0976,2017-04-26 21:23
VIG,14.0,5.0,13.0,1.15203,-6.85906,61.70466,54.8456,,85,16.83254,0.0,0.00234,Celta Vigo,1.57604,0.0,0.0,74008,6.5325,0.0,14.63496,2017-04-26 21:23
ATL,6.0,8.0,20.0,0.62674,37.93908,27.8691,65.80818,,1068,6.73204,0.9932,0.0068,Atletico Madrid,1.79957,0.0,0.0,74010,9.10336,0.0,22.1646,2017-04-26 21:23
LEG,18.0,9.0,7.0,1.00916,-21.7546,55.58444,33.82984,,17534,19.59722,0.0,0.0,Leganes,1.25028,0.0,0.03662,78708,10.15344,0.0,8.24934,2017-04-26 21:23
MAD,3.0,6.0,24.0,0.97148,60.93142,43.34254,104.27396,,86,3.57748,1.0,0.0,Real Madrid,3.32597,0.67774,0.0,74013,6.7381,0.67774,27.68442,2017-04-26 21:23
SOC,12.0,4.0,18.0,1.04822,6.23602,51.56984,57.80586,,89,13.23298,0.01402,0.97068,Real Sociedad,1.73627,0.0,0.0,75770,4.9896,0.0,19.77742,2017-04-26 21:23
